web_scraper_order,web_scraper_start_url,prix,region,titre_vehicule,kilometrage,car_link,car_link-href,boite_vitesse,annee
"1785857677-136","https://www.gaaraas.com/fr/users/dakar-auto?page=67","","","Il n'y a pas d'annonce","","","","",""
"1785857677-137","https://www.gaaraas.com/fr/users/dakar-auto?page=67","","","Souscrire à notre newsletter","","","","",""
"1785857677-138","https://www.gaaraas.com/fr/users/dakar-auto?page=67","","","","","","","",""
"1785857681-139","https://www.gaaraas.com/fr/users/dakar-auto?page=66","","","","","","","",""
"1785857681-140","https://www.gaaraas.com/fr/users/dakar-auto?page=66","","","Il n'y a pas d'annonce","","","","",""
"1785857681-141","https://www.gaaraas.com/fr/users/dakar-auto?page=66","","","Souscrire à notre newsletter","","","","",""
"1785857681-142","https://www.gaaraas.com/fr/users/dakar-auto?page=66","","","","","","","",""
"1785857686-143","https://www.gaaraas.com/fr/users/dakar-auto?page=65","","","","","","","",""
"1785857686-144","https://www.gaaraas.com/fr/users/dakar-auto?page=65","","","Il n'y a pas d'annonce","","","","",""
"1785857686-145","https://www.gaaraas.com/fr/users/dakar-auto?page=65","","","Souscrire à notre newsletter","","","","",""
"1785857686-146","https://www.gaaraas.com/fr/users/dakar-auto?page=65","","","","","","","",""
"1785857692-147","https://www.gaaraas.com/fr/users/dakar-auto?page=64","","","","","","","",""
"1785857692-148","https://www.gaaraas.com/fr/users/dakar-auto?page=64","","","Il n'y a pas d'annonce","","","","",""
"1785857692-149","https://www.gaaraas.com/fr/users/dakar-auto?page=64","","","Souscrire à notre newsletter","","","","",""
"1785857692-150","https://www.gaaraas.com/fr/users/dakar-auto?page=64","","","","","","","",""
"1785857698-151","https://www.gaaraas.com/fr/users/dakar-auto?page=63","","","","","","","",""
"1785857698-152","https://www.gaaraas.com/fr/users/dakar-auto?page=63","","","Il n'y a pas d'annonce","","","","",""
"1785857698-153","https://www.gaaraas.com/fr/users/dakar-auto?page=63","","","Souscrire à notre newsletter","","","","",""
"1785857698-154","https://www.gaaraas.com/fr/users/dakar-auto?page=63","","","","","","","",""
"1785857703-155","https://www.gaaraas.com/fr/users/dakar-auto?page=62","","","","","","","",""
"1785857703-156","https://www.gaaraas.com/fr/users/dakar-auto?page=62","","","Il n'y a pas d'annonce","","","","",""
"1785857703-157","https://www.gaaraas.com/fr/users/dakar-auto?page=62","","","Souscrire à notre newsletter","","","","",""
"1785857703-158","https://www.gaaraas.com/fr/users/dakar-auto?page=62","","","","","","","",""
"1785857708-159","https://www.gaaraas.com/fr/users/dakar-auto?page=61","","","","","","","",""
"1785857708-160","https://www.gaaraas.com/fr/users/dakar-auto?page=61","","","Il n'y a pas d'annonce","","","","",""
"1785857708-161","https://www.gaaraas.com/fr/users/dakar-auto?page=61","","","Souscrire à notre newsletter","","","","",""
"1785857708-162","https://www.gaaraas.com/fr/users/dakar-auto?page=61","","","","","","","",""
"1785857713-163","https://www.gaaraas.com/fr/users/dakar-auto?page=60","","","","","","","",""
"1785857713-164","https://www.gaaraas.com/fr/users/dakar-auto?page=60","","","Il n'y a pas d'annonce","","","","",""
"1785857713-165","https://www.gaaraas.com/fr/users/dakar-auto?page=60","","","Souscrire à notre newsletter","","","","",""
"1785857713-166","https://www.gaaraas.com/fr/users/dakar-auto?page=60","","","","","","","",""
"1785857718-167","https://www.gaaraas.com/fr/users/dakar-auto?page=59","","","","","","","",""
"1785857718-168","https://www.gaaraas.com/fr/users/dakar-auto?page=59","","","Il n'y a pas d'annonce","","","","",""
"1785857718-169","https://www.gaaraas.com/fr/users/dakar-auto?page=59","","","Souscrire à notre newsletter","","","","",""
"1785857718-170","https://www.gaaraas.com/fr/users/dakar-auto?page=59","","","","","","","",""
"1785857723-171","https://www.gaaraas.com/fr/users/dakar-auto?page=58","","","","","","","",""
"1785857723-172","https://www.gaaraas.com/fr/users/dakar-auto?page=58","","","Il n'y a pas d'annonce","","","","",""
"1785857723-173","https://www.gaaraas.com/fr/users/dakar-auto?page=58","","","Souscrire à notre newsletter","","","","",""
"1785857723-174","https://www.gaaraas.com/fr/users/dakar-auto?page=58","","","","","","","",""
"1785857729-175","https://www.gaaraas.com/fr/users/dakar-auto?page=57","","","","","","","",""
